Genetico;;;;;
;4;8;10;;
Porcentaje de estados optimos;1;0,4;0,02;;
Tiempo de ejecucion promedio;0,38;1,25;7,12;;
Desviacion estandar del tiempo;0,05;0,1;0;;
Promedio de estados previos;0,133;81;328;;
Desviacion estandar de estados previos;0,5;75,47;0;;
;;;1 sola solucion;;
;;;;;
;;;;;
;;;;;
Hill Climbing;;;;;
;4;8;10;;
Porcentaje de estados optimos;0,03;0,03;0,03;;
Tiempo de ejecucion promedio;0;0,04;0,038;;
Desviacion estandar del tiempo;0;0;0;;
Promedio de estados previos;0;4;5;;
Desviacion estandar de estados previos;0;0;0;;
;;;;;
;;;;;
;;;;;
;;;;;
Annealing;;;;;
;4;8;10;;
Porcentaje de estados optimos;1;0,96;0,8;;
Tiempo de ejecucion promedio;0,005;0,25;0,99;;
Desviacion estandar del tiempo;0,004;0,16;0,53;;
Promedio de estados previos;21,2;80,4;141,7;;
Desviacion estandar de estados previos;20,4;54,3;78,4;;
